Ano,Data,Fase,Estadio,Cidade,TimeDaCasa,GolsTimeDaCasa,GolsTimeVisitante,TimeVisitante,Publico,GolsTimeCasaAntesIntervalo,GolsTimeVisitanteAntesIntervalo,TimeDaCasaIniciais,TimeVisitanteIniciais
1938,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2,1,Romania,8000,0,1,CUB,ROU
1938,09 Jun 1938 - 18:00 ,First round,Parc des Princes,Paris ,Switzerland,4,2,Germany,20025,1,2,SUI,GER
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1,1,Czechoslovakia,22021,0,0,BRA,TCH
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Victor Boucquey,Lille ,Hungary,2,0,Switzerland,15000,1,0,HUN,SUI
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8,0,Cuba,7000,4,0,SWE,CUB
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3,1,France,58455,1,1,ITA,FRA
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2,1,Czechoslovakia,18141,0,1,BRA,TCH
1938,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5,1,Sweden,20000,3,1,HUN,SWE
1938,16 Jun 1938 - 18:00 ,Semi-finals,Stade V�lodrome,Marseilles ,Italy,2,1,Brazil,33000,0,0,ITA,BRA
1938,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4,2,Sweden,12000,1,2,BRA,SWE
1938,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Colombes ,Italy,4,2,Hungary,45000,3,1,ITA,HUN
1950,24 Jun 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,4,0,Mexico,81649,1,0,BRA,MEX
1950,25 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,England,2,0,Chile,29703,1,0,ENG,CHI
1950,25 Jun 1950 - 15:00 ,Group 2,Durival de Brito,Curitiba ,Spain,3,1,USA,9511,0,1,ESP,USA
1950,25 Jun 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Sweden,3,2,Italy,36502,2,1,SWE,ITA
1950,25 Jun 1950 - 15:00 ,Group 1,Independencia,Belo Horizonte ,Yugoslavia,3,0,Switzerland,7336,0,0,YUG,SUI
1950,28 Jun 1950 - 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,2,2,Switzerland,42032,2,1,BRA,SUI
1950,28 Jun 1950 - 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,4,1,Mexico,11078,2,0,YUG,MEX
1950,29 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,2,0,Chile,19790,2,0,ESP,CHI
1950,29 Jun 1950 - 15:30 ,Group 3,Durival de Brito,Curitiba ,Sweden,2,2,Paraguay,7903,2,1,SWE,PAR
1950,29 Jun 1950 - 15:00 ,Group 2,Independencia,Belo Horizonte ,USA,1,0,England,10151,1,0,USA,ENG
1950,01 Jul 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,2,0,Yugoslavia,142429,1,0,BRA,YUG
1950,02 Jul 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1,0,England,74462,0,0,ESP,ENG
1950,02 Jul 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Italy,2,0,Paraguay,25811,1,0,ITA,PAR
1950,02 Jul 1950 - 15:00 ,Group 4,Independencia,Belo Horizonte ,Uruguay,8,0,Bolivia,5284,4,0,URU,BOL
1950,02 Jul 1950 - 15:40 ,Group 1,Eucaliptos,Porto Alegre ,Switzerland,2,1,Mexico,3580,2,0,SUI,MEX
1950,02 Jul 1950 - 15:00 ,Group 2,Ilha do Retiro,Recife ,Chile,5,2,USA,8501,2,0,CHI,USA
1950,09 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,2,2,Spain,44802,1,2,URU,ESP
1950,09 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,7,1,Sweden,138886,3,0,BRA,SWE
1950,13 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,6,1,Spain,152772,3,0,BRA,ESP
1950,13 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,3,2,Sweden,7987,1,2,URU,SWE
1950,16 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Sweden,3,1,Spain,11227,2,0,SWE,ESP
1950,16 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Uruguay,2,1,Brazil,173850,0,0,URU,BRA
1954,16 Jun 1954 - 18:00 ,Group 3,Wankdorf Stadium,Berne ,Uruguay,2,0,Czechoslovakia,20500,0,0,URU,TCH
1954,16 Jun 1954 - 18:00 ,Group 3,Hardturm,Zurich ,Austria,1,0,Scotland,25000,1,0,AUT,SCO
1954,16 Jun 1954 - 18:00 ,Group 1,Charmilles,Geneva ,Brazil,5,0,Mexico,13470,4,0,BRA,MEX
1954,16 Jun 1954 - 18:00 ,Group 1,La Pontaise,Lausanne ,Yugoslavia,1,0,France,16000,1,0,YUG,FRA
1954,17 Jun 1954 - 18:00 ,Group 2,Wankdorf Stadium,Berne ,Germany FR,4,1,Turkey,28000,1,1,FRG,TUR
1954,17 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Hungary,9,0,Korea Republic,13000,4,0,HUN,KOR
1954,17 Jun 1954 - 18:10 ,Group 4,St. Jakob,Basel ,England,4,4,Belgium,14000,0,0,ENG,BEL
1954,17 Jun 1954 - 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,2,1,Italy,43000,1,1,SUI,ITA
1954,19 Jun 1954 - 16:50 ,Group 3,St. Jakob,Basel ,Uruguay,7,0,Scotland,34000,2,0,URU,SCO
1954,19 Jun 1954 - 17:00 ,Group 3,Hardturm,Zurich ,Austria,5,0,Czechoslovakia,26000,4,0,AUT,TCH
1954,19 Jun 1954 - 17:10 ,Group 1,Charmilles,Geneva ,France,3,2,Mexico,19000,1,0,FRA,MEX
1954,19 Jun 1954 - 17:00 ,Group 1,La Pontaise,Lausanne ,Brazil,1,1,Yugoslavia,24637,0,0,BRA,YUG
1954,20 Jun 1954 - 16:50 ,Group 2,St. Jakob,Basel ,Hungary,8,3,Germany FR,56000,3,1,HUN,FRG
1954,20 Jun 1954 - 17:00 ,Group 2,Charmilles,Geneva ,Turkey,7,0,Korea Republic,4000,4,0,TUR,KOR
1954,20 Jun 1954 - 17:10 ,Group 4,Wankdorf Stadium,Berne ,England,2,0,Switzerland,43500,1,0,ENG,SUI
1954,20 Jun 1954 - 17:00 ,Group 4,Comunale di Cornaredo,Lugano ,Italy,4,1,Belgium,24000,1,0,ITA,BEL
1954,23 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Germany FR,7,2,Turkey,17000,3,1,FRG,TUR
1954,23 Jun 1954 - 18:00 ,Group 4,St. Jakob,Basel ,Switzerland,4,1,Italy,30000,1,0,SUI,ITA
1954,26 Jun 1954 - 17:00 ,Quarter-finals,St. Jakob,Basel ,Uruguay,4,2,England,28000,2,1,URU,ENG
1954,26 Jun 1954 - 17:00 ,Quarter-finals,La Pontaise,Lausanne ,Austria,7,5,Switzerland,35000,5,4,AUT,SUI
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Charmilles,Geneva ,Germany FR,2,0,Yugoslavia,17000,1,0,FRG,YUG
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Wankdorf Stadium,Berne ,Hungary,4,2,Brazil,40000,2,1,HUN,BRA
1954,30 Jun 1954 - 18:00 ,Semi-finals,St. Jakob,Basel ,Germany FR,6,1,Austria,58000,1,0,FRG,AUT
1954,30 Jun 1954 - 18:00 ,Semi-finals,La Pontaise,Lausanne ,Hungary,4,2,Uruguay,45000,0,0,HUN,URU
1954,03 Jul 1954 - 17:00 ,Match for third place,Hardturm,Zurich ,Austria,3,1,Uruguay,32000,1,1,AUT,URU
1954,04 Jul 1954 - 17:00 ,Final,Wankdorf Stadium,Berne ,Germany FR,3,2,Hungary,62500,2,2,FRG,HUN
1958,08 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,3,0,Mexico,34107,1,0,SWE,MEX
1958,08 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,2,2,England,49348,1,0,URS,ENG
1958,08 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Argentina,1,3,Germany FR,31156,1,2,ARG,FRG
1958,08 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,1,1,Wales,15343,1,1,HUN,WAL
1958,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7,3,Paraguay,16518,2,2,FRA,PAR
1958,08 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,1,1,Scotland,9591,1,0,YUG,SCO
1958,08 Jun 1958 - 19:00 ,Group 4,Rimnersvallen,Udevalla ,Brazil,3,0,Austria,17788,1,0,BRA,AUT
1958,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1,0,Czechoslovakia,10647,1,0,NIR,TCH
1958,11 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,0,0,England,40895,0,0,BRA,ENG
1958,11 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Mexico,1,1,Wales,15150,0,1,MEX,WAL
1958,11 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,Paraguay,3,2,Scotland,11665,2,1,PAR,SCO
1958,11 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,3,2,France,12217,1,1,YUG,FRA
1958,11 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,Soviet Union,2,0,Austria,21239,1,0,URS,AUT
1958,11 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Germany FR,2,2,Czechoslovakia,25000,0,2,FRG,TCH
1958,11 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Argentina,3,1,Northern Ireland,14174,1,1,ARG,NIR
1958,12 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,2,1,Hungary,38850,1,0,SWE,HUN
1958,15 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,0,0,Wales,30287,0,0,SWE,WAL
1958,15 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,2,0,Soviet Union,50928,1,0,BRA,URS
1958,15 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Germany FR,2,2,Northern Ireland,21990,1,1,FRG,NIR
1958,15 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,4,0,Mexico,13300,1,0,HUN,MEX
1958,15 Jun 1958 - 19:00 ,Group 2,Tunavallen,Eskilstuna ,Paraguay,3,3,Yugoslavia,13103,1,2,PAR,YUG
1958,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,Orebro ,France,2,1,Scotland,13554,2,0,FRA,SCO
1958,15 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,England,2,2,Austria,15872,0,1,ENG,AUT
1958,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czechoslovakia,6,1,Argentina,16418,3,0,TCH,ARG
1958,17 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,1,0,England,23182,0,0,URS,ENG
1958,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2,1,Czechoslovakia,6196,0,0,NIR,TCH
1958,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2,1,Hungary,2823,0,1,WAL,HUN
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1,0,Wales,25923,0,0,BRA,WAL
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Malmo Stadion,Malm� ,Germany FR,1,0,Yugoslavia,20055,1,0,FRG,YUG
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Rasunda Stadium,Solna ,Sweden,2,0,Soviet Union,31900,0,0,SWE,URS
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4,0,Northern Ireland,11800,1,0,FRA,NIR
1958,24 Jun 1958 - 19:00 ,Semi-finals,Nya Ullevi,Gothenburg ,Sweden,3,1,Germany FR,49471,1,1,SWE,FRG
1958,24 Jun 1958 - 19:00 ,Semi-finals,Rasunda Stadium,Solna ,Brazil,5,2,France,27100,2,1,BRA,FRA
1958,28 Jun 1958 - 17:00 ,Match for third place,Nya Ullevi,Gothenburg ,France,6,3,Germany FR,32483,3,1,FRA,FRG
1958,29 Jun 1958 - 15:00 ,Final,Rasunda Stadium,Solna ,Brazil,5,2,Sweden,49737,2,1,BRA,SWE
1962,30 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Uruguay,2,1,Colombia,7908,0,1,URU,COL
1962,30 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,0,Mexico,10484,0,0,BRA,MEX
1962,30 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Argentina,1,0,Bulgaria,7134,1,0,ARG,BUL
1962,30 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,3,1,Switzerland,65006,1,1,CHI,SUI
1962,31 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,0,Yugoslavia,9622,0,0,URS,YUG
1962,31 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,1,0,Spain,12700,0,0,TCH,ESP
1962,31 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,2,1,England,7938,1,0,HUN,ENG
1962,31 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,0,0,Italy,65440,0,0,FRG,ITA
1962,02 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,3,1,Uruguay,8829,2,1,YUG,URU
1962,02 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,0,0,Czechoslovakia,14903,0,0,BRA,TCH
1962,02 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,3,1,Argentina,9794,2,0,ENG,ARG
1962,02 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,2,0,Italy,66057,0,0,CHI,ITA
1962,03 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,4,4,Colombia,8040,3,1,URS,COL
1962,03 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Spain,1,0,Mexico,11875,0,0,ESP,MEX
1962,03 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,6,1,Bulgaria,7442,4,0,HUN,BUL
1962,03 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,1,Switzerland,64922,1,0,FRG,SUI
1962,06 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,1,Uruguay,9973,1,0,URS,URU
1962,06 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,1,Spain,18715,0,1,BRA,ESP
1962,06 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,0,0,Argentina,7945,0,0,HUN,ARG
1962,06 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,0,Chile,67224,1,0,FRG,CHI
1962,07 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,5,0,Colombia,7167,2,0,YUG,COL
1962,07 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Mexico,3,1,Czechoslovakia,10648,2,1,MEX,TCH
1962,07 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,0,0,Bulgaria,5700,0,0,ENG,BUL
1962,07 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Italy,3,0,Switzerland,59828,1,0,ITA,SUI
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Carlos Dittborn,Arica ,Chile,2,1,Soviet Union,17268,2,1,CHI,URS
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio Sausalito,Vina Del Mar ,Brazil,3,1,England,17736,1,1,BRA,ENG
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua ,Czechoslovakia,1,0,Hungary,11690,1,0,TCH,HUN
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Nacional,Santiago De Chile ,Yugoslavia,1,0,Germany FR,63324,0,0,YUG,FRG
1962,13 Jun 1962 - 14:30 ,Semi-finals,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,3,1,Yugoslavia,5890,0,0,TCH,YUG
1962,13 Jun 1962 - 14:30 ,Semi-finals,Nacional,Santiago De Chile ,Brazil,4,2,Chile,76594,2,1,BRA,CHI
1962,16 Jun 1962 - 14:30 ,Match for third place,Nacional,Santiago De Chile ,Chile,1,0,Yugoslavia,66697,0,0,CHI,YUG
1962,17 Jun 1962 - 14:30 ,Final,Nacional,Santiago De Chile ,Brazil,3,1,Czechoslovakia,68679,1,1,BRA,TCH
1966,11 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,0,0,Uruguay,87148,0,0,ENG,URU
1966,12 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Germany FR,5,0,Switzerland,36127,3,0,FRG,SUI
1966,12 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Brazil,2,0,Bulgaria,47308,1,0,BRA,BUL
1966,12 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Soviet Union,3,0,Korea DPR,23006,2,0,URS,PRK
1966,13 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,France,1,1,Mexico,69237,0,0,FRA,MEX
1966,13 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,1,Hungary,29886,1,0,POR,HUN
1966,13 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Argentina,2,1,Spain,42738,0,0,ARG,ESP
1966,13 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Italy,2,0,Chile,27199,1,0,ITA,CHI
1966,15 Jul 1966 - 19:30 ,Group 1,White City,London ,Uruguay,2,1,France,45662,2,1,URU,FRA
1966,15 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Spain,2,1,Switzerland,32028,0,1,ESP,SUI
1966,15 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Hungary,3,1,Brazil,51387,1,1,HUN,BRA
1966,15 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1,1,Chile,13792,0,1,PRK,CHI
1966,16 Jul 1966 - 15:00 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,0,Bulgaria,25438,2,0,POR,BUL
1966,16 Jul 1966 - 15:00 ,Group 2,Villa Park,Birmingham ,Germany FR,0,0,Argentina,46587,0,0,FRG,ARG
1966,16 Jul 1966 - 15:00 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,1,0,Italy,27793,0,0,URS,ITA
1966,16 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,Mexico,92570,1,0,ENG,MEX
1966,19 Jul 1966 - 16:30 ,Group 1,Wembley Stadium,London ,Uruguay,0,0,Mexico,61112,0,0,URU,MEX
1966,19 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Argentina,2,0,Switzerland,32127,0,0,ARG,SUI
1966,19 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Portugal,3,1,Brazil,58479,2,0,POR,BRA
1966,19 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1,0,Italy,17829,1,0,PRK,ITA
1966,20 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,France,98270,1,0,ENG,FRA
1966,20 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Hungary,3,1,Bulgaria,24129,2,1,HUN,BUL
1966,20 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Germany FR,2,1,Spain,42187,1,1,FRG,ESP
1966,20 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,2,1,Chile,16027,1,1,URS,CHI
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Wembley Stadium,London ,England,1,0,Argentina,90584,0,0,ENG,ARG
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Hillsborough,Sheffield ,Germany FR,4,0,Uruguay,40007,1,0,FRG,URU
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Roker Park Ground,Sunderland ,Soviet Union,2,1,Hungary,26844,1,0,URS,HUN
